service_id,date,exception_type
"3441_345303","20220305","1"
"3441_345303","20220308","1"
"3441_345303","20220310","1"
"3441_345303","20220311","1"
"3441_345303","20220312","1"
"3441_345303","20220315","1"
"3441_345303","20220317","1"
"3441_345303","20220318","1"
"3441_345303","20220319","1"
"3441_345303","20220322","1"
"3441_345303","20220324","1"
"3441_345303","20220325","1"
"3441_345303","20220326","1"
"3441_345303","20220329","1"
"3441_345303","20220331","1"
"3441_345304","20220301","1"
"3441_345304","20220302","1"
"3441_345304","20220303","1"
"3441_345304","20220305","1"
"3441_345304","20220308","1"
"3441_345304","20220309","1"
"3441_345304","20220310","1"
"3441_345304","20220312","1"
"3441_345304","20220315","1"
"3441_345304","20220316","1"
"3441_345304","20220317","1"
"3441_345304","20220319","1"
"3441_345304","20220322","1"
"3441_345304","20220323","1"
"3441_345304","20220324","1"
"3441_345304","20220326","1"
"3441_345304","20220329","1"
"3441_345304","20220330","1"
"3441_345304","20220331","1"
"3441_345305","20220304","1"
"3441_345305","20220311","1"
"3441_345305","20220318","1"
"3441_345305","20220325","1"
"3441_345306","20220301","1"
"3441_345306","20220303","1"
"3441_345306","20220305","1"
"3441_345306","20220308","1"
"3441_345306","20220310","1"
"3441_345306","20220312","1"
"3441_345306","20220315","1"
"3441_345306","20220317","1"
"3441_345306","20220319","1"
"3441_345306","20220322","1"
"3441_345306","20220324","1"
"3441_345306","20220326","1"
"3441_345306","20220329","1"
"3441_345306","20220331","1"
"3441_345307","20220228","1"
"3441_345307","20220302","1"
"3441_345307","20220303","1"
"3441_345307","20220304","1"
"3441_345307","20220307","1"
"3441_345307","20220309","1"
"3441_345307","20220310","1"
"3441_345307","20220311","1"
"3441_345307","20220314","1"
"3441_345307","20220316","1"
"3441_345307","20220317","1"
"3441_345307","20220318","1"
"3441_345307","20220321","1"
"3441_345307","20220323","1"
"3441_345307","20220324","1"
"3441_345307","20220325","1"
"3441_345307","20220328","1"
"3441_345307","20220330","1"
"3441_345307","20220331","1"
"3441_345308","20220228","1"
"3441_345308","20220301","1"
"3441_345308","20220303","1"
"3441_345308","20220305","1"
"3441_345308","20220307","1"
"3441_345308","20220308","1"
"3441_345308","20220310","1"
"3441_345308","20220312","1"
"3441_345308","20220314","1"
"3441_345308","20220315","1"
"3441_345308","20220317","1"
"3441_345308","20220319","1"
"3441_345308","20220321","1"
"3441_345308","20220322","1"
"3441_345308","20220324","1"
"3441_345308","20220326","1"
"3441_345308","20220328","1"
"3441_345308","20220329","1"
"3441_345308","20220331","1"
"3441_345309","20220301","1"
"3441_345309","20220308","1"
"3441_345309","20220315","1"
"3441_345309","20220322","1"
"3441_345309","20220329","1"
"3441_345310","20220228","1"
"3441_345310","20220301","1"
"3441_345310","20220302","1"
"3441_345310","20220305","1"
"3441_345310","20220307","1"
"3441_345310","20220308","1"
"3441_345310","20220309","1"
"3441_345310","20220312","1"
"3441_345310","20220314","1"
"3441_345310","20220315","1"
"3441_345310","20220316","1"
"3441_345310","20220319","1"
"3441_345310","20220321","1"
"3441_345310","20220322","1"
"3441_345310","20220323","1"
"3441_345310","20220326","1"
"3441_345310","20220328","1"
"3441_345310","20220329","1"
"3441_345310","20220330","1"
"3441_345311","20220303","1"
"3441_345311","20220305","1"
"3441_345311","20220310","1"
"3441_345311","20220312","1"
"3441_345311","20220317","1"
"3441_345311","20220319","1"
"3441_345311","20220324","1"
"3441_345311","20220326","1"
"3441_345311","20220331","1"
"3441_345312","20220228","1"
"3441_345312","20220302","1"
"3441_345312","20220303","1"
"3441_345312","20220304","1"
"3441_345312","20220305","1"
"3441_345312","20220307","1"
"3441_345312","20220309","1"
"3441_345312","20220310","1"
"3441_345312","20220311","1"
"3441_345312","20220312","1"
"3441_345312","20220314","1"
"3441_345312","20220316","1"
"3441_345312","20220317","1"
"3441_345312","20220318","1"
"3441_345312","20220319","1"
"3441_345312","20220321","1"
"3441_345312","20220323","1"
"3441_345312","20220324","1"
"3441_345312","20220325","1"
"3441_345312","20220326","1"
"3441_345312","20220328","1"
"3441_345312","20220330","1"
"3441_345312","20220331","1"
"3441_345313","20220228","1"
"3441_345313","20220304","1"
"3441_345313","20220307","1"
"3441_345313","20220311","1"
"3441_345313","20220314","1"
"3441_345313","20220318","1"
"3441_345313","20220321","1"
"3441_345313","20220325","1"
"3441_345313","20220328","1"
"3441_345314","20220302","1"
"3441_345314","20220304","1"
"3441_345314","20220309","1"
"3441_345314","20220311","1"
"3441_345314","20220316","1"
"3441_345314","20220318","1"
"3441_345314","20220323","1"
"3441_345314","20220325","1"
"3441_345314","20220330","1"
"3441_345315","20220228","1"
"3441_345315","20220302","1"
"3441_345315","20220304","1"
"3441_345315","20220307","1"
"3441_345315","20220309","1"
"3441_345315","20220311","1"
"3441_345315","20220314","1"
"3441_345315","20220316","1"
"3441_345315","20220318","1"
"3441_345315","20220321","1"
"3441_345315","20220323","1"
"3441_345315","20220325","1"
"3441_345315","20220328","1"
"3441_345315","20220330","1"
"3441_345316","20220228","1"
"3441_345316","20220302","1"
"3441_345316","20220307","1"
"3441_345316","20220309","1"
"3441_345316","20220314","1"
"3441_345316","20220316","1"
"3441_345316","20220321","1"
"3441_345316","20220323","1"
"3441_345316","20220328","1"
"3441_345316","20220330","1"
"3441_345317","20220228","1"
"3441_345317","20220301","1"
"3441_345317","20220302","1"
"3441_345317","20220303","1"
"3441_345317","20220304","1"
"3441_345317","20220305","1"
"3441_345317","20220307","1"
"3441_345317","20220308","1"
"3441_345317","20220309","1"
"3441_345317","20220310","1"
"3441_345317","20220311","1"
"3441_345317","20220312","1"
"3441_345317","20220314","1"
"3441_345317","20220315","1"
"3441_345317","20220316","1"
"3441_345317","20220317","1"
"3441_345317","20220318","1"
"3441_345317","20220319","1"
"3441_345317","20220321","1"
